model,ins_id,param_id,length,format,correct,ori,total_score
Meta-Llama-3.1-8B,7,3,13,0.0,1.0,1.0,0.75
Meta-Llama-3.1-8B,7,4,13,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,0,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,8,1,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,2,13,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,3,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,4,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,0,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,9,1,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,9,2,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,9,3,13,0.0,1.0,1.0,0.75
Meta-Llama-3.1-8B,9,4,13,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,9,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,10,0,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,10,1,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,10,2,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,10,3,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,10,4,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,10,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,11,0,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,1,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,2,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,3,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,11,4,13,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,11,5,13,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,0,0,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,1,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,2,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,3,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,4,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,0,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,1,0,28,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,1,28,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,1,3,28,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,4,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,1,5,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,0,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,1,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,4,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,2,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,0,28,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,3,1,28,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,3,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,4,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,3,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,4,0,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,1,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,2,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,3,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,4,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,5,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,5,0,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,1,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,5,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,5,4,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,5,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,6,0,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,1,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,2,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,6,3,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,6,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,6,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,0,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,1,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,2,28,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,7,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,8,0,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,1,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,2,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,3,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,8,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,9,0,28,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,9,1,28,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,9,2,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,3,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,9,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,10,0,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,1,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,2,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,3,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,10,5,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,0,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,1,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,2,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,3,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,4,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,5,28,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,0,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,0,1,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,0,2,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,3,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,4,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,0,5,60,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,1,0,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,1,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,2,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,3,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,4,60,0.2,1.0,1.0,0.8
Meta-Llama-3.1-8B,1,5,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,0,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,1,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,2,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,3,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,4,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,2,5,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,3,0,60,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,1,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,2,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,3,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,4,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,3,5,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,4,0,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,1,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,2,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,3,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,4,4,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,4,5,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,5,0,60,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,5,1,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,2,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,3,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,5,4,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,5,5,60,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,6,0,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,6,1,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,6,2,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,6,3,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,6,4,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,6,5,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,0,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,1,60,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,7,2,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,3,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,4,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,7,5,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,8,0,60,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,1,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,8,2,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,8,3,60,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,8,4,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,8,5,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,9,0,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,9,1,60,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,9,2,60,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,9,3,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,9,4,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,9,5,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,10,0,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,1,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,2,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,3,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,10,4,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,10,5,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,11,0,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,1,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,2,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,3,60,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B,11,4,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,11,5,60,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,0,0,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,1,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,2,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,3,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,0,4,120,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,0,5,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,0,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,1,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,2,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,3,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,4,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,1,5,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,0,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,1,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,2,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,3,120,0.2,0.0,0.0,0.0
Meta-Llama-3.1-8B,2,4,120,0.2,0.0,0.0,0.0
