model,ins_id,param_id,length,correct,num_text,ori,format,total_score
Meta-Llama-3.1-8B,4,2,3,0.0,1.0,0.5,0.6,0.55
Meta-Llama-3.1-8B,4,3,3,0.0,1.0,0.5,1.0,0.65
Meta-Llama-3.1-8B,4,4,3,0.0,0.5333333333333334,0.5,0.8,0.4833333333333334
Meta-Llama-3.1-8B,0,0,6,0.8333333333333334,0.0,0.9415584415584416,0.7,0.6241341991341992
Meta-Llama-3.1-8B,0,1,6,0.0,1.0,0.0,0.6,0.4
Meta-Llama-3.1-8B,0,2,6,0.125,0.5333333333333334,0.5,0.6,0.45833333333333337
Meta-Llama-3.1-8B,0,3,6,0.7777777777777778,0.0,0.9285714285714285,0.6,0.584126984126984
Meta-Llama-3.1-8B,0,4,6,0.16666666666666666,0.5333333333333334,0.5,0.6,0.4666666666666667
Meta-Llama-3.1-8B,1,0,6,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,1,1,6,0.0,0.0,0.029480389132446678,1.0,0.258844116739734
Meta-Llama-3.1-8B,1,2,6,0.125,0.5333333333333334,0.5,0.6,0.45833333333333337
Meta-Llama-3.1-8B,1,3,6,1.0,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,4,6,0.0,0.0,0.0,0.3,0.075
Meta-Llama-3.1-8B,2,0,6,0.8888888888888888,0.0,0.9308176100628932,0.7,0.6320230607966457
Meta-Llama-3.1-8B,2,1,6,0.0,1.0,0.0,0.6,0.4
Meta-Llama-3.1-8B,2,2,6,0.125,0.0,0.006313131313131313,0.5,0.15189393939393941
Meta-Llama-3.1-8B,2,3,6,1.0,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,2,4,6,0.16666666666666666,0.5333333333333334,0.5,0.8,0.5166666666666667
Meta-Llama-3.1-8B,3,0,6,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,3,1,6,0.0,1.0,0.0,0.6,0.4
Meta-Llama-3.1-8B,3,2,6,0.125,0.5333333333333334,0.5,0.6,0.45833333333333337
Meta-Llama-3.1-8B,3,3,6,0.0,1.0,0.0,0.6,0.4
Meta-Llama-3.1-8B,3,4,6,0.16666666666666666,0.5333333333333334,0.5,0.6,0.4666666666666667
Meta-Llama-3.1-8B,4,0,6,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,4,1,6,0.0,1.0,0.4166666666666667,1.0,0.625
Meta-Llama-3.1-8B,4,2,6,0.125,0.5333333333333334,0.5,0.6,0.45833333333333337
Meta-Llama-3.1-8B,4,3,6,0.0,1.0,0.5,1.0,0.65
Meta-Llama-3.1-8B,4,4,6,0.16666666666666666,1.0,0.5,0.6,0.5833333333333334
Meta-Llama-3.1-8B,0,0,13,0.0,0.48,0.4166666666666667,1.0,0.495
Meta-Llama-3.1-8B,0,1,13,0.0,0.0,0.0,0.3,0.075
Meta-Llama-3.1-8B,0,2,13,0.09375,0.64,0.5,0.6,0.47874999999999995
Meta-Llama-3.1-8B,0,3,13,0.0,0.64,0.5,0.6,0.45999999999999996
Meta-Llama-3.1-8B,0,4,13,0.09375,0.64,0.5,0.6,0.47874999999999995
Meta-Llama-3.1-8B,1,0,13,0.0,0.48,0.4166666666666667,1.0,0.495
Meta-Llama-3.1-8B,1,1,13,0.0,0.0,0.11872455902306649,0.3,0.11061736770691995
Meta-Llama-3.1-8B,1,2,13,0.0,0.0,0.0,0.3,0.075
Meta-Llama-3.1-8B,1,3,13,0.0,0.64,0.5,0.6,0.45999999999999996
Meta-Llama-3.1-8B,1,4,13,0.0,0.0,0.0,0.3,0.075
Meta-Llama-3.1-8B,2,0,13,0.0,0.64,0.5,1.0,0.5599999999999999
Meta-Llama-3.1-8B,2,1,13,0.0,0.48,0.4166666666666667,1.0,0.495
Meta-Llama-3.1-8B,2,2,13,0.09375,0.48,0.5,0.6,0.43875000000000003
Meta-Llama-3.1-8B,2,3,13,0.0,0.48,0.5,1.0,0.52
Meta-Llama-3.1-8B,2,4,13,0.09375,0.48,0.5,0.6,0.43875000000000003
Meta-Llama-3.1-8B,3,0,13,0.0,0.64,0.5,1.0,0.5599999999999999
Meta-Llama-3.1-8B,3,1,13,0.0,0.32,0.0,0.5,0.205
Meta-Llama-3.1-8B,3,2,13,0.09375,0.64,0.5,0.6,0.47874999999999995
Meta-Llama-3.1-8B,3,3,13,0.0,0.48,0.0,0.6,0.27
Meta-Llama-3.1-8B,3,4,13,0.09375,0.64,0.5,0.6,0.47874999999999995
Meta-Llama-3.1-8B,4,0,13,0.0,0.64,0.5,1.0,0.5599999999999999
Meta-Llama-3.1-8B,4,1,13,0.0,0.48,0.4166666666666667,1.0,0.495
Meta-Llama-3.1-8B,4,2,13,0.09375,0.48,0.5,0.6,0.43875000000000003
Meta-Llama-3.1-8B,4,3,13,0.0,0.48,0.5,1.0,0.52
Meta-Llama-3.1-8B,4,4,13,0.09375,0.48,0.5,0.6,0.43875000000000003
Meta-Llama-3.1-8B,0,0,28,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,0,1,28,0.0,0.4,0.4166666666666667,1.0,0.475
Meta-Llama-3.1-8B,0,2,28,0.0,0.2666666666666667,0.0,0.4,0.16666666666666669
Meta-Llama-3.1-8B,0,3,28,0.0,0.5333333333333334,0.5,0.6,0.4333333333333334
Meta-Llama-3.1-8B,0,4,28,0.08333333333333333,0.5333333333333334,0.5,0.6,0.45
Meta-Llama-3.1-8B,1,0,28,0.0,0.4,0.4166666666666667,1.0,0.475
Meta-Llama-3.1-8B,1,1,28,0.0,0.2666666666666667,0.0,0.4,0.16666666666666669
Meta-Llama-3.1-8B,1,2,28,0.08928571428571429,0.5333333333333334,0.5,0.6,0.4511904761904762
Meta-Llama-3.1-8B,1,3,28,0.0,0.4,0.0,0.6,0.25
Meta-Llama-3.1-8B,1,4,28,0.0,0.0,0.0,0.3,0.075
Meta-Llama-3.1-8B,2,0,28,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,2,1,28,0.0,0.4,0.0,0.6,0.25
Meta-Llama-3.1-8B,2,2,28,0.08928571428571429,0.4,0.5,0.6,0.41785714285714287
Meta-Llama-3.1-8B,2,3,28,0.0,0.4,0.5,1.0,0.5
Meta-Llama-3.1-8B,2,4,28,0.08333333333333333,0.4,0.5,0.6,0.4166666666666667
Meta-Llama-3.1-8B,3,0,28,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,3,1,28,0.0,0.4,0.0,0.6,0.25
Meta-Llama-3.1-8B,3,2,28,0.08928571428571429,0.5333333333333334,0.5,0.6,0.4511904761904762
Meta-Llama-3.1-8B,3,3,28,0.0,0.4,0.0,0.6,0.25
Meta-Llama-3.1-8B,3,4,28,0.08333333333333333,0.4,0.0,0.6,0.2666666666666667
Meta-Llama-3.1-8B,4,0,28,0.0,0.5333333333333334,0.5,1.0,0.5333333333333334
Meta-Llama-3.1-8B,4,1,28,0.0,0.4,0.4166666666666667,1.0,0.475
Meta-Llama-3.1-8B,4,2,28,0.08928571428571429,0.4,0.5,0.6,0.41785714285714287
Meta-Llama-3.1-8B,4,3,28,0.0,0.4,0.5,1.0,0.5
Meta-Llama-3.1-8B,4,4,28,0.08333333333333333,0.4,0.5,0.6,0.4166666666666667
Meta-Llama-3.1-8B,0,0,60,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,0,1,60,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Meta-Llama-3.1-8B,0,2,60,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Meta-Llama-3.1-8B,0,3,60,0.0,0.34285714285714286,0.5,1.0,0.48571428571428577
Meta-Llama-3.1-8B,0,4,60,0.09895833333333333,0.45714285714285713,0.5,0.6,0.4340773809523809
Meta-Llama-3.1-8B,1,0,60,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,1,1,60,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,1,2,60,0.09375,0.45714285714285713,0.5,0.6,0.43303571428571425
Meta-Llama-3.1-8B,1,3,60,0.0,0.0,0.007575757575757576,0.3,0.07727272727272727
Meta-Llama-3.1-8B,1,4,60,0.09895833333333333,0.0,0.009398496240601503,0.3,0.09761121553884712
Meta-Llama-3.1-8B,2,0,60,0.0,0.45714285714285713,0.5,0.7,0.4392857142857142
Meta-Llama-3.1-8B,2,1,60,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,2,2,60,0.09375,0.0,0.0063613231552162855,0.5,0.14565839694656488
Meta-Llama-3.1-8B,2,3,60,0.0,0.34285714285714286,0.5,1.0,0.48571428571428577
Meta-Llama-3.1-8B,2,4,60,0.09895833333333333,0.34285714285714286,0.5,0.6,0.4055059523809524
Meta-Llama-3.1-8B,3,0,60,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,3,1,60,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,3,2,60,0.09375,0.45714285714285713,0.5,0.6,0.43303571428571425
Meta-Llama-3.1-8B,3,3,60,0.0,0.45714285714285713,0.5,0.6,0.41428571428571426
Meta-Llama-3.1-8B,3,4,60,0.09895833333333333,0.34285714285714286,0.0,0.6,0.25550595238095236
Meta-Llama-3.1-8B,4,0,60,0.0,0.45714285714285713,0.5,0.7,0.4392857142857142
Meta-Llama-3.1-8B,4,1,60,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,4,2,60,0.09375,0.45714285714285713,0.5,0.6,0.43303571428571425
Meta-Llama-3.1-8B,4,3,60,0.0,0.34285714285714286,0.5,1.0,0.48571428571428577
Meta-Llama-3.1-8B,4,4,60,0.09895833333333333,0.34285714285714286,0.5,0.6,0.4055059523809524
Meta-Llama-3.1-8B,0,0,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,0,1,120,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,0,2,120,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Meta-Llama-3.1-8B,0,3,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,0,4,120,0.11607142857142858,0.45714285714285713,0.5,0.6,0.4375
Meta-Llama-3.1-8B,1,0,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,1,1,120,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,1,2,120,0.10379464285714286,0.0,0.0063613231552162855,0.3,0.09766732551799347
Meta-Llama-3.1-8B,1,3,120,0.0,0.34285714285714286,0.5,1.0,0.48571428571428577
Meta-Llama-3.1-8B,1,4,120,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Meta-Llama-3.1-8B,2,0,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,2,1,120,0.0,0.0,0.5,0.3,0.225
Meta-Llama-3.1-8B,2,2,120,0.10379464285714286,0.0,0.0063613231552162855,0.5,0.14766732551799347
Meta-Llama-3.1-8B,2,3,120,0.0,0.34285714285714286,0.5,1.0,0.48571428571428577
Meta-Llama-3.1-8B,2,4,120,0.11607142857142858,0.45714285714285713,0.5,0.8,0.4875
Meta-Llama-3.1-8B,3,0,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,3,1,120,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,3,2,120,0.10379464285714286,0.34285714285714286,0.5,0.6,0.4064732142857143
Meta-Llama-3.1-8B,3,3,120,0.0,0.34285714285714286,0.5,1.0,0.48571428571428577
Meta-Llama-3.1-8B,3,4,120,0.11607142857142858,0.45714285714285713,0.5,0.8,0.4875
Meta-Llama-3.1-8B,4,0,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Meta-Llama-3.1-8B,4,1,120,0.0,0.34285714285714286,0.4166666666666667,1.0,0.46071428571428574
Meta-Llama-3.1-8B,4,2,120,0.10379464285714286,0.34285714285714286,0.5,0.6,0.4064732142857143
Meta-Llama-3.1-8B,4,3,120,0.0,0.34285714285714286,0.5,1.0,0.48571428571428577
Meta-Llama-3.1-8B,4,4,120,0.11607142857142858,0.45714285714285713,0.5,0.8,0.4875
Qwen2.5-72B,0,0,3,0.75,1.0,1.0,1.0,0.95
Qwen2.5-72B,0,1,3,1.0,0.2666666666666667,1.0,1.0,0.8166666666666668
Qwen2.5-72B,0,2,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,0,3,3,1.0,1.0,1.0,1.0,1.0
Qwen2.5-72B,0,4,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,1,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,1,1,3,0.0,0.0,1.0,1.0,0.55
Qwen2.5-72B,1,2,3,1.0,1.0,1.0,1.0,1.0
Qwen2.5-72B,1,3,3,0.875,0.0,1.0,1.0,0.725
Qwen2.5-72B,1,4,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,2,0,3,1.0,0.0,1.0,1.0,0.75
Qwen2.5-72B,2,1,3,1.0,1.0,1.0,1.0,1.0
Qwen2.5-72B,2,2,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,2,3,3,0.75,1.0,0.0,0.3,0.475
Qwen2.5-72B,2,4,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,3,0,3,1.0,0.0,1.0,1.0,0.75
Qwen2.5-72B,3,1,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,3,2,3,1.0,1.0,1.0,1.0,1.0
Qwen2.5-72B,3,3,3,1.0,1.0,1.0,1.0,1.0
Qwen2.5-72B,3,4,3,1.0,0.2666666666666667,1.0,1.0,0.8166666666666668
Qwen2.5-72B,4,0,3,1.0,0.0,1.0,1.0,0.75
Qwen2.5-72B,4,1,3,1.0,0.0,1.0,1.0,0.75
Qwen2.5-72B,4,2,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
Qwen2.5-72B,4,3,3,1.0,0.0,1.0,1.0,0.75
Qwen2.5-72B,4,4,3,1.0,0.0,1.0,0.8,0.7
Qwen2.5-72B,0,0,6,1.0,1.0,1.0,1.0,1.0
Qwen2.5-72B,0,1,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,0,2,6,0.8888888888888888,0.0,1.0,0.8,0.6777777777777778
Qwen2.5-72B,0,3,6,1.0,1.0,1.0,1.0,1.0
Qwen2.5-72B,0,4,6,0.8888888888888888,0.0,0.9895833333333334,0.8,0.6746527777777778
Qwen2.5-72B,1,0,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,1,1,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,1,2,6,1.0,1.0,0.5,0.6,0.75
Qwen2.5-72B,1,3,6,0.8888888888888888,0.0,0.5,0.3,0.4027777777777778
Qwen2.5-72B,1,4,6,0.8888888888888888,0.0,0.4791666666666667,0.3,0.39652777777777776
Qwen2.5-72B,2,0,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,2,1,6,0.8888888888888888,0.0,0.9,1.0,0.6977777777777778
Qwen2.5-72B,2,2,6,0.8888888888888888,0.0,1.0,0.8,0.6777777777777778
Qwen2.5-72B,2,3,6,0.75,0.5333333333333334,0.0,0.5,0.4083333333333334
Qwen2.5-72B,2,4,6,0.8888888888888888,0.0,1.0,0.8,0.6777777777777778
Qwen2.5-72B,3,0,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,3,1,6,0.8888888888888888,0.0,0.9499999999999998,1.0,0.7127777777777777
Qwen2.5-72B,3,2,6,0.8888888888888888,0.0,0.9642857142857143,0.8,0.6670634920634921
Qwen2.5-72B,3,3,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,3,4,6,1.0,0.0,0.8981481481481483,1.0,0.7194444444444444
Qwen2.5-72B,4,0,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,4,1,6,0.8888888888888888,0.0,1.0,1.0,0.7277777777777777
Qwen2.5-72B,4,2,6,0.8888888888888888,0.0,1.0,0.8,0.6777777777777778
Qwen2.5-72B,4,3,6,1.0,0.0,1.0,1.0,0.75
Qwen2.5-72B,4,4,6,1.0,0.2666666666666667,0.4888888888888889,0.6,0.5633333333333334
Qwen2.5-72B,0,0,13,0.6171875,0.48,1.0,1.0,0.7934375
Qwen2.5-72B,0,1,13,0.0,0.48,1.0,1.0,0.67
Qwen2.5-72B,0,2,13,0.4765625,0.0,0.8526785714285715,0.7,0.5261160714285714
Qwen2.5-72B,0,3,13,0.609375,0.48,1.0,1.0,0.791875
Qwen2.5-72B,0,4,13,0.796875,0.48,0.5,0.6,0.579375
Qwen2.5-72B,1,0,13,0.09375,0.32,0.0,0.5,0.22374999999999998
Qwen2.5-72B,1,1,13,0.0,0.64,1.0,1.0,0.71
Qwen2.5-72B,1,2,13,0.54296875,0.0,0.49500000000000005,0.3,0.33209375
Qwen2.5-72B,1,3,13,0.7265625,0.0,0.5,0.3,0.3703125
Qwen2.5-72B,1,4,13,0.5,1.0,0.5,0.3,0.575
Qwen2.5-72B,2,0,13,0.09375,0.32,0.0,0.5,0.22374999999999998
Qwen2.5-72B,2,1,13,0.0,1.0,0.038461538461538464,0.8,0.4615384615384615
Qwen2.5-72B,2,2,13,0.515625,0.0,0.38425925925925924,0.3,0.2934027777777778
Qwen2.5-72B,2,3,13,0.55078125,0.0,0.5,0.3,0.33515625
Qwen2.5-72B,2,4,13,0.09375,0.64,0.5,0.8,0.5287499999999999
Qwen2.5-72B,3,0,13,0.51953125,0.48,1.0,1.0,0.77390625
Qwen2.5-72B,3,1,13,0.0,0.32,0.0,0.5,0.205
Qwen2.5-72B,3,2,13,0.09375,0.64,0.5,0.8,0.5287499999999999
Qwen2.5-72B,3,3,13,0.375,0.32,0.0,0.5,0.27999999999999997
Qwen2.5-72B,3,4,13,0.5625,0.32,0.0,0.5,0.3175
Qwen2.5-72B,4,0,13,0.51953125,0.48,1.0,1.0,0.77390625
Qwen2.5-72B,4,1,13,0.0,0.64,0.5,1.0,0.5599999999999999
Qwen2.5-72B,4,2,13,0.5625,0.32,0.0,0.5,0.3175
Qwen2.5-72B,4,3,13,0.72265625,0.48,0.9932432432432433,1.0,0.8125042229729729
Qwen2.5-72B,4,4,13,0.4375,0.48,0.5,0.6,0.5075000000000001
Qwen2.5-72B,0,0,28,0.11224489795918367,0.0,1.0,0.7,0.49744897959183676
Qwen2.5-72B,0,1,28,0.29591836734693877,0.4,0.9411764705882352,0.7,0.6165366146458583
Qwen2.5-72B,0,2,28,0.22335600907029476,0.0,0.9929063742013383,0.5,0.4675431140744605
Qwen2.5-72B,0,3,28,0.4801587301587302,0.6666666666666667,1.0,0.7,0.7376984126984126
Qwen2.5-72B,0,4,28,0.2619047619047619,0.2666666666666667,0.0,0.5,0.24404761904761907
Qwen2.5-72B,1,0,28,0.8458049886621315,0.0,0.8813559322033898,0.7,0.6085677773934433
Qwen2.5-72B,1,1,28,0.07369614512471655,0.0,1.0,0.7,0.4897392290249433
Qwen2.5-72B,1,2,28,0.20153061224489796,0.5333333333333334,0.5,0.3,0.39863945578231297
Qwen2.5-72B,1,3,28,0.4484126984126984,0.5333333333333334,0.4583333333333333,0.3,0.435515873015873
Qwen2.5-72B,1,4,28,0.2619047619047619,0.2666666666666667,0.0,0.5,0.24404761904761907
Qwen2.5-72B,2,0,28,0.2193877551020408,0.4,1.0,0.7,0.6188775510204081
Qwen2.5-72B,2,1,28,0.17857142857142858,0.2666666666666667,0.0,0.5,0.22738095238095238
Qwen2.5-72B,2,2,28,0.46456916099773243,0.0,0.9818716226084417,0.5,0.512475318982079
Qwen2.5-72B,2,3,28,0.5212585034013606,0.0,0.9770114942528737,0.7,0.5723551489561343
Qwen2.5-72B,2,4,28,0.2619047619047619,0.2666666666666667,0.0,0.5,0.24404761904761907
Qwen2.5-72B,3,0,28,0.738095238095238,0.0,0.8135593220338984,0.7,0.5666868442292171
Qwen2.5-72B,3,1,28,0.5351473922902494,0.0,1.0,0.7,0.5820294784580499
Qwen2.5-72B,3,2,28,0.6763038548752834,0.0,0.9906051517290049,0.8,0.6324423164937581
Qwen2.5-72B,3,3,28,0.574546485260771,0.6666666666666667,0.9351851851851851,0.7,0.7371315192743764
Qwen2.5-72B,3,4,28,0.4954648526077097,0.0,0.9891111111111112,0.5,0.5208263038548753
Qwen2.5-72B,4,0,28,0.15192743764172334,0.0,0.09433962264150945,0.7,0.2336873743207975
Qwen2.5-72B,4,1,28,0.1870748299319728,1.0,0.9655172413793104,0.7,0.7520701384001877
Qwen2.5-72B,4,2,28,0.17857142857142858,0.2666666666666667,0.0,0.5,0.22738095238095238
Qwen2.5-72B,4,3,28,0.1255668934240363,0.4,1.0,0.7,0.6001133786848072
Qwen2.5-72B,4,4,28,0.5663265306122449,0.4,0.956989247311828,1.0,0.7503620803159974
Qwen2.5-72B,0,0,60,0.09375,0.22857142857142856,0.0,0.5,0.20089285714285712
Qwen2.5-72B,0,1,60,0.015625,0.22857142857142856,0.0,0.5,0.18526785714285715
Qwen2.5-72B,0,2,60,0.046875,0.22857142857142856,0.0,0.5,0.19151785714285713
Qwen2.5-72B,0,3,60,0.0390625,0.22857142857142856,0.0,0.5,0.18995535714285713
Qwen2.5-72B,0,4,60,0.16666666666666666,0.22857142857142856,0.0,0.5,0.21547619047619046
Qwen2.5-72B,1,0,60,0.015625,0.22857142857142856,0.0,0.5,0.18526785714285715
Qwen2.5-72B,1,1,60,0.0,0.22857142857142856,0.0,0.5,0.18214285714285713
Qwen2.5-72B,1,2,60,0.09375,0.45714285714285713,0.5,0.8,0.48303571428571423
Qwen2.5-72B,1,3,60,0.0,0.0,0.009615384615384616,0.7,0.17788461538461536
Qwen2.5-72B,1,4,60,0.09895833333333333,0.45714285714285713,0.5,0.8,0.48407738095238095
Qwen2.5-72B,2,0,60,0.0625,0.22857142857142856,0.0,0.5,0.19464285714285715
Qwen2.5-72B,2,1,60,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,2,2,60,0.09375,0.45714285714285713,0.5,0.8,0.48303571428571423
Qwen2.5-72B,2,3,60,0.0078125,0.22857142857142856,0.0,0.5,0.18370535714285713
Qwen2.5-72B,2,4,60,0.09895833333333333,0.45714285714285713,0.5,0.8,0.48407738095238095
Qwen2.5-72B,3,0,60,0.03125,0.22857142857142856,0.0,0.5,0.18839285714285714
Qwen2.5-72B,3,1,60,0.0,0.22857142857142856,0.0,0.5,0.18214285714285713
Qwen2.5-72B,3,2,60,0.015625,0.22857142857142856,0.0,0.5,0.18526785714285715
Qwen2.5-72B,3,3,60,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,3,4,60,0.16666666666666666,0.22857142857142856,0.0,0.5,0.21547619047619046
Qwen2.5-72B,4,0,60,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,4,1,60,0.0,0.22857142857142856,0.0,0.5,0.18214285714285713
Qwen2.5-72B,4,2,60,0.015625,0.22857142857142856,0.0,0.5,0.18526785714285715
Qwen2.5-72B,4,3,60,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,4,4,60,0.22395833333333334,0.22857142857142856,0.0,0.5,0.2269345238095238
Qwen2.5-72B,0,0,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,0,1,120,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Qwen2.5-72B,0,2,120,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Qwen2.5-72B,0,3,120,0.0,0.0,0.009541984732824428,0.7,0.17786259541984734
Qwen2.5-72B,0,4,120,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Qwen2.5-72B,1,0,120,0.0,0.22857142857142856,0.0,0.5,0.18214285714285713
Qwen2.5-72B,1,1,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,1,2,120,0.10379464285714286,0.45714285714285713,0.5,0.8,0.4850446428571429
Qwen2.5-72B,1,3,120,0.0,0.0,0.009615384615384616,0.7,0.17788461538461536
Qwen2.5-72B,1,4,120,0.11607142857142858,0.45714285714285713,0.5,0.8,0.4875
Qwen2.5-72B,2,0,120,0.006696428571428571,0.22857142857142856,0.0,0.5,0.18348214285714284
Qwen2.5-72B,2,1,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,2,2,120,0.10379464285714286,0.45714285714285713,0.5,0.8,0.4850446428571429
Qwen2.5-72B,2,3,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,2,4,120,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Qwen2.5-72B,3,0,120,0.0,0.45714285714285713,0.5,1.0,0.5142857142857142
Qwen2.5-72B,3,1,120,0.0,0.22857142857142856,0.0,0.4,0.15714285714285714
Qwen2.5-72B,3,2,120,0.10379464285714286,0.45714285714285713,0.5,0.8,0.4850446428571429
